orcid_origin,pmid,doi,article_qnr,all_authors_qnr
0000-0003-2058-5942,nan,10.1107/S2053230X15005890,Q40854363,['Q63384725']
0000-0003-2058-5942,nan,10.1186/1757-4749-5-1,Q36616677,"['Q62911332', 'Q63384725']"
0000-0003-2058-5942,nan,10.1107/S0907444909017314,Q27656618,"['Q56285607', 'Q63384725']"
0000-0003-2058-5942,nan,10.1128/IAI.00683-18,Q57462996,"['Q60975258', 'Q60975265', 'Q63384725']"
0000-0003-2058-5942,nan,10.2147/BTT.S50870,Q30355629,['Q63384725']
0000-0003-2058-5942,nan,10.1042/BJ20102063,Q27931106,"['Q40371570', 'Q56285607', 'Q63384725', 'Q56190']"
0000-0003-2058-5942,nan,10.1007/5584_2016_42,Q40616341,"['Q42316054', 'Q42684599', 'Q56938108', 'Q57550986', 'Q59151132', 'Q59694474', 'Q59694485', 'Q63384725']"
0000-0003-2058-5942,nan,10.1107/S1744309105007761,Q41910004,"['Q56285607', 'Q63384725']"
0000-0003-0256-3942,nan,10.1177/1403494819850429,Q92496466,"['Q41592131', 'Q92496461']"
0000-0001-8496-6942,nan,10.1016/S0045-7949(98)00271-5,Q59312532,
0000-0001-8496-6942,nan,10.1016/S0020-7683(02)00615-7,Q59312530,
0000-0001-8496-6942,nan,10.1016/S0168-874X(02)00159-2,Q59312529,
0000-0002-4323-3942,nan,10.1109/TMAG.2005.855340,Q57762369,
0000-0002-4323-3942,nan,10.1063/1.1984090,Q57762395,
0000-0002-4323-3942,nan,10.1063/1.1759380,Q61802842,['Q59943585']
0000-0002-4323-3942,nan,10.1063/1.1759380,Q61802842,['Q59943585']
0000-0002-4323-3942,nan,10.1109/INTMAG.2006.375831,Q62022040,
0000-0002-4323-3942,nan,10.1109/NSSMIC.2012.6551631,Q62807982,
0000-0002-4323-3942,nan,10.1063/1.1984090,Q57762395,
0000-0002-4323-3942,nan,10.1016/S0956-5663(02)00205-1,Q44327038,"['Q48018930', 'Q57837606', 'Q61415269']"
0000-0002-4323-3942,nan,10.1109/TMAG.2005.855340,Q57762369,
0000-0002-4323-3942,nan,10.1016/S0956-5663(02)00205-1,Q44327038,"['Q48018930', 'Q57837606', 'Q61415269']"
0000-0002-4323-3942,nan,10.1063/1.2162342,Q58646586,
0000-0002-4323-3942,nan,10.1109/NSSMIC.2012.6551631,Q62807982,
0000-0002-4323-3942,nan,10.1063/1.2165148,Q62022031,
0000-0002-4323-3942,nan,10.1007/0-387-23316-4_14,Q58646603,
0000-0002-4323-3942,nan,10.1109/INTMAG.2006.375831,Q62022040,
0000-0002-4323-3942,nan,10.1007/0-387-23316-4_14,Q58646603,
0000-0002-4323-3942,nan,10.1063/1.2162342,Q58646586,
0000-0002-4323-3942,12604266.0,10.1016/S0956-5663(02)00205-1,Q44327038,"['Q48018930', 'Q57837606', 'Q61415269']"
0000-0002-4323-3942,nan,10.1063/1.2165148,Q62022031,
0000-0003-3931-5942,22958331.0,10.1186/1471-2164-13-464,Q21266708,"['Q30506208', 'Q30506216']"
