author_qID,orcid,name,affiliation,affiliation_id,affiliation_id_source,start_date_year
,0000-0002-5106-9636,"('Vikas', 'Jhawat')","('Venus Remedies Ltd', '75714', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q88464764,0000-0001-9934-4636,"('Wout', 'Verbeure')","('KU Leuven', '26657', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-1760-2636,"('Satish Pandian', 'Ganapathy')","('Thiagarajar College of Engineering', '29969', 'RINGGOLD', '2010')",nan,nan,nan,nan
,0000-0002-1326-5636,"('Caterina', 'Lamuta')","('University of Iowa', '4083', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0003-3264-3636,"('Maksut Barış', 'EMİNOĞLU')","('Ankara Üniversitesi', '37504', 'RINGGOLD', '2009')",nan,nan,nan,nan
Q87179544,0000-0003-4499-4636,"('Gaofeng', 'Wu')","('Xijing Hospital', '66352', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0001-6185-6636,"('Michał', 'Wojciuk')","('University of Białystok', 'grid.25588.32', 'GRID', '2017')",nan,nan,nan,nan
Q48827964,0000-0002-3224-7636,"('Mihály', 'Ormos')","('Budapest University of Technology and Economics', '61810', 'RINGGOLD', '2001')",nan,nan,nan,nan
Q61150970,0000-0001-7723-3636,"('David', 'Ritter')","(""Cincinnati Children's Hospital Medical Center"", '2518', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0002-2711-4636,"('NARASIMHAMURTHY', 'S K')","('Kuvempu University', '29250', 'RINGGOLD', '1996')",nan,nan,nan,nan
Q59105683,0000-0002-5836-7636,"('Vickie', 'Lynch')","('Oak Ridge National Laboratory', '6146', 'RINGGOLD', '1979')",nan,nan,nan,nan
,0000-0002-4517-9636,"('Carolina', 'Poblete')","('Universidad de Santiago de Chile', '28065', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0003-3829-5636,"('Ola Edvin', 'Vie')","('NTNU (Norwegian University of Science and Technology)', '145606', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q91717925,0000-0003-4688-5636,"('Ying', 'Han')","('Zhejiang University of Technology', '12624', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0002-8850-7636,"('Cristina', 'Cobo Huesa')","('University of Jaén', 'grid.21507.31', 'GRID', '2017')",nan,nan,nan,nan
,0000-0002-1151-8636,"('Tito', 'Almeida')","('Universidade do Vale do Itajaí', '37875', 'RINGGOLD', '2001')",nan,nan,nan,nan
,0000-0001-6793-2636,"('Omar', 'Hasan')","('University of Mustansiriyah', '108487', 'RINGGOLD', '2002')",nan,nan,nan,nan
Q57984186,0000-0001-9213-4636,"('Olga', 'Caamaño')","('University of Santiago de Compostela', 'grid.11794.3a', 'GRID', '1990')",nan,nan,nan,nan
,0000-0002-0688-2636,"('Raj Kumar', 'Sharma')","('Indian Railways Central Railway', '376396', 'RINGGOLD', '1974')",nan,nan,nan,nan
,0000-0001-6989-0636,"('Felipe', 'Paiva')","('Federal Center for Technological Education of Minas Gerais', 'grid.454271.1', 'GRID', '2009')",nan,nan,nan,nan
,0000-0002-6328-9636,"('Mayra Elisa', 'Sánchez Murillo')","('Universidad Autónoma de Nuevo León', 'http://dx.doi.org/10.13039/501100004685', 'FUNDREF', '2017')",nan,nan,nan,nan
Q87012225,0000-0002-7891-5636,"('Martin', 'Seeber')","('University of Geneva', 'grid.8591.5', 'GRID', '2017')",nan,nan,nan,nan
Q90271357,0000-0001-5327-4636,"('Robert', 'McGorrin')","('Oregon State University', '2694', 'RINGGOLD', '2000')",nan,nan,nan,nan
,0000-0001-6798-3636,"('Judith', 'Lawrence')","('Victoria University of Wellington', '8491', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0002-4585-7636,"('Wen-Yi', 'Lin')","('Hungkuo Delin University of Technology', '63122', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q41458465,0000-0002-4932-1636,"('Fabio', 'Robusto')","('Regione Puglia', '154829', 'RINGGOLD', '2008')",nan,nan,nan,nan
,0000-0002-8736-0636,"('Yinghua', 'Yu')","('Western Sydney University - Parramatta Campus', '89381', 'RINGGOLD', '2018')",nan,nan,nan,nan
Q70920498,0000-0001-6429-9636,"('Tadeusz', 'Szmańko')","('Wroclaw University of Environmental and Life Sciences', 'grid.411200.6', 'GRID', '1972')",nan,nan,nan,nan
,0000-0002-2400-1636,"('munah', 'alqaisi')","('University of Kufa', '125627', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-9472-0636,"('JOSEPH', 'ADJEBENG-DANQUAH')","('Council for Scientific and Industrial Research, Ghana', '56417', 'RINGGOLD', '2008')",nan,nan,nan,nan
Q56480334,0000-0002-3250-3636,"('Mariette', 'Barbier')","('West Virginia University', '5631', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0003-1045-2636,"('Gulgoona', 'Jamal')","('Zakir Husain Delhi College', '418422', 'RINGGOLD', '2005')",nan,nan,nan,nan
,0000-0002-3803-2636,"('Maria', 'González de Cossío Rosenzweig')","('Universidad Autónoma Metropolitana Unidad Cuajimalpa', '103801', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0003-3906-0636,"('aditya', 'rahman')","('Universitas Sultan Ageng Tirtayasa', '175482', 'RINGGOLD', '1984')",nan,nan,nan,nan
Q96213022,0000-0001-7165-9636,"('Cindy', 'Voisine')","('Northeastern Illinois University', '2458', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-6290-5636,"('María', 'Arias-Corona')","('Fundación Progreso y Salud', '161645', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0001-7420-0636,"('Krasimir', 'Marinov')","('University of National and World Economy', '112374', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-2939-8636,"('Joanna', 'Ruszczyńska')","('University of Warmia and Mazury in Olsztyn', 'grid.412607.6', 'GRID', '2016')",nan,nan,nan,nan
,0000-0002-4236-5636,"('Zaw', 'Wint')","('Universiti Brunei Darussalam', '37597', 'RINGGOLD', '2013')",nan,nan,nan,nan
Q64777699,0000-0002-9366-4636,"('Bárbara', 'Della Noce')","('Federal University of Rio de Janeiro', 'grid.8536.8', 'GRID', '2019')",nan,nan,nan,nan
Q61159893,0000-0001-6105-5636,"('P Ravi', 'Shankar')","('Xavier University School of Medicine', '101684', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0002-9454-4636,"('Rita', 'Grazina')","('Centro Hospitalar de Vila Nova de Gaia Espinho EPE', '59043', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0003-0978-5636,"('Paulina', 'Wawrzeniecka')","('Institute of Philosophy and Sociology', 'grid.460365.2', 'GRID', '2003')",nan,nan,nan,nan
,0000-0002-3428-5636,"('Jean Louis', 'RAJOT')","('Institut de recherche pour le developpement', '27056', 'RINGGOLD', '1993')",nan,nan,nan,nan
,0000-0003-2660-6636,"('Robert', 'Weaver')","('Rowan University', '3536', 'RINGGOLD', '2016')",nan,nan,nan,nan
Q89872184,0000-0001-9646-9636,"('Jose', 'Birindelli')","('Universidade Estadual de Londrina', '37894', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-3936-9636,"('MARÍA CRISTINA', 'BALAREZO PINOS')","('Ministerio de Salud Pública', '185011', 'RINGGOLD', '2017')",nan,nan,nan,nan
Q58450508,0000-0003-2206-6636,"('Fabian', 'Pfrengle')","('Max Planck Institute of Colloids and Interfaces', 'grid.419564.b', 'GRID', '2013')",nan,nan,nan,nan
,0000-0003-3177-1636,"('Marek', 'Smoluk')","('University of Zielona Góra', 'grid.28048.36', 'GRID', '1997')",nan,nan,nan,nan
,0000-0002-9413-0636,"('AYHAN', 'ALTINTAS')","('Anadolu University', 'grid.41206.31', 'GRID', '1993')",nan,nan,nan,nan
Q90601311,0000-0001-9748-8636,"('Maria', 'Pyasik')","('University of Turin', 'grid.7605.4', 'GRID', '2015')",nan,nan,nan,nan
,0000-0001-8161-1636,"('Alex', 'Claman')","('Texas Tech University', '6177', 'RINGGOLD', '2018')",nan,nan,nan,nan
Q89849147,0000-0001-9269-5636,"('Matteo', 'Antonini')","('La Source', 'grid.505783.c', 'GRID', '2017')",nan,nan,nan,nan
,0000-0001-7029-3636,"('Dean P.', 'Anderson')","('Manaaki Whenua - Landcare Research', '2243', 'RINGGOLD', '2007')",nan,nan,nan,nan
,0000-0001-8913-8636,"('Juan', 'De Sá Roriz Caminha')","('Universidade Federal do Ceará', '28121', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0002-1298-3636,"('Reham Nafad', 'Elbendary radwan')","('Cairo University hospitals', 'grid.476980.4', 'GRID', '2008')",nan,nan,nan,nan
,0000-0001-7893-0636,"('pinya', 'li')","('Hebei Medical University Third Affiliated Hospital', '74725', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-1781-3636,"('Gagik', 'Demirkhanyan')","('Armenian State Pedagogical University After Khachatur Abovian', '202860', 'RINGGOLD', '2011')",nan,nan,nan,nan
Q56527799,0000-0001-6333-3636,"('Sophie', 'Broutin')","('Gustave Roussy', '46657', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0002-5246-7636,"('Lida', 'Ortiz León')","('Universidad Manuela Beltrán', '27958', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0003-4435-3636,"('Seif', 'Barakat')","('King Faisal University', '114800', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0002-9913-4636,"('Enwere', 'Dike')","('Kogi State University', '56877', 'RINGGOLD', '2009')",nan,nan,nan,nan
Q90666389,0000-0001-9816-5636,"('Elisa', 'Sassetti')","('Fraunhofer-Institut für Molekularbiologie und Angewandte Oekologie Abteilung ScreeningPort', '298192', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0001-7329-1636,"('Meir', 'Stern')","('Weizmann Institute of Science', '34976', 'RINGGOLD', '1974')",nan,nan,nan,nan
,0000-0001-5152-7636,"('Andras', 'Bezdek')","('Auburn University', '1383', 'RINGGOLD', '2001')",nan,nan,nan,nan
,0000-0002-3005-7636,"('Swapnil', 'Gadgune')","('Padmabhooshan Vasantraodada Patil Institute of Technology', '305590', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0003-4022-1636,"('Rocío', 'Martínez Helmes')","('Universidad Autónoma Benito Juárez de Oaxaca', '27755', 'RINGGOLD', '2005')",nan,nan,nan,nan
Q57014444,0000-0001-6944-4636,"('Keosha', 'Bond')","('New York Medical College', '8137', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0003-0681-6636,"('Seyed Kamaledin', 'Hadei')","('Hamadan University of Medical Sciences Medical School', '158768', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0003-0404-4636,"('Vasileios', 'Lepesis')","('University of Plymouth', '6633', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0002-2267-1636,"('Doğan', 'Sözbilen')","('Pamukkale Üniversitesi', '52990', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-1199-9636,"('Irene', 'Bronner')","('University of Johannesburg', '61799', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0001-6775-6636,"('Beatriz-Elena', 'Marín-Ochoa')","('Universidad Pontificia Bolivariana', '28025', 'RINGGOLD', '2010')",nan,nan,nan,nan
,0000-0001-9005-9636,"('Kristýna', 'Vltavská')","('University of Economics, Prague', 'grid.266283.b', 'GRID', '2012')",nan,nan,nan,nan
,0000-0002-6216-3636,"('Joon-Seok', 'Kim')","('Sejong University', '35006', 'RINGGOLD', '2007')",nan,nan,nan,nan
,0000-0002-5402-4636,"('irem', 'akın şen')","('Gaziantep Üniversitesi', '37512', 'RINGGOLD', '2008')",nan,nan,nan,nan
,0000-0002-1758-1636,"('JOSE MANUEL', 'CHOZAS ALONSO')","('Universidad Complutense de Madrid Facultad de Derecho', '83135', 'RINGGOLD', '1991')",nan,nan,nan,nan
,0000-0003-2550-7636,"('Alexander', 'Gasper')","('WMG', '120959', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0003-4844-2636,"('SHIB KINKAR', 'DAS')","('West Bengal University of Animal and Fishery Sciences', '79158', 'RINGGOLD', '1994')",nan,nan,nan,nan
Q58065250,0000-0002-8066-0636,"('Erin', 'Lipp')","('University of Georgia', '1355', 'RINGGOLD', '2002')",nan,nan,nan,nan
Q41530402,0000-0003-1621-3636,"('Joanne', 'Ross')","('Justice and Forensic Mental Health Network', '161777', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0002-4238-1636,"('Alistair', 'Welsh')","('Deakin University - Geelong Waterfront Campus', '91844', 'RINGGOLD', '1996')",nan,nan,nan,nan
Q91519748,0000-0003-0761-6636,"('Tchilalo', 'Boukpessi')","('Université Paris Descartes', '26907', 'RINGGOLD', '2012')",nan,nan,nan,nan
Q74076287,0000-0002-3063-9636,"('Peter', 'Müller')","('Ludwig-Maximilians-Universität München', 'http://dx.doi.org/10.13039/501100005722', 'FUNDREF', '2008')",nan,nan,nan,nan
Q87958440,0000-0002-0628-4636,"('Brian', 'Flepisi')","('University of the Western Cape', '56390', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0002-0839-4636,"('Inna', 'Khomenko')","('Chernihiv National University of Technology', '415748', 'RINGGOLD', '2003')",nan,nan,nan,nan
,0000-0001-6136-2636,"('Cedomir', 'Vuckovic')","('University of Manchester', '5292', 'RINGGOLD', '2019')",nan,nan,nan,nan
,0000-0003-1660-0636,"('Katarzyna', 'Palka')","('Wszechnica swietokrzyska w Kielcach', '202792', 'RINGGOLD', '1998')",nan,nan,nan,nan
,0000-0003-1452-5636,"('Marianne', 'Freyssinet')","('Université Paul-Valéry Montpellier', '27038', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0003-4478-3636,"('LUNA', 'STIPP')","('Universidade Estadual do Norte do Paraná', '176852', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0002-4237-3636,"('Andressa', 'Benvenutti Radaelli')","('Universidade Federal da Fronteira Sul', '232192', 'RINGGOLD', '2010')",nan,nan,nan,nan
Q59198472,0000-0001-7571-3636,"('Siwaporn Meejoo', 'Smith')","('Mahidol University Faculty of Science', '98842', 'RINGGOLD', '1998')",nan,nan,nan,nan
,0000-0002-5860-7636,"('Liyun', 'Ma')","('Xinjiang University', '47907', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0003-4706-0636,"('Imad', 'Al Yaseen')","('International Islamic University Malaysia', 'http://dx.doi.org/10.13039/501100007297', 'FUNDREF', '2010')",nan,nan,nan,nan
Q80477353,0000-0003-2392-3636,"('Alexander', 'Kalachev')","('Institute biologii morya imeni AV Zhirmunskogo DVO RAN', '104618', 'RINGGOLD', '2002')",nan,nan,nan,nan
,0000-0002-1895-5636,"('Somerset Elcid', 'Siang')","('University of Mindanao', '63152', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0003-3467-3636,"('Francesco', 'Ingravalle')","('Università degli Studi del Piemonte Orientale', 'http://dx.doi.org/10.13039/501100005699', 'FUNDREF', '2006')",nan,nan,nan,nan
,0000-0001-8788-8636,"('EFRAIN', 'CASTILLO LOPEZ')","('Universidad Tecnológica del Mayab', '403866', 'RINGGOLD', '2012')",nan,nan,nan,nan
Q89272361,0000-0001-6851-3636,"('Judith', 'Oymans')","('Wageningen University & Research', 'grid.4818.5', 'GRID', '2016')",nan,nan,nan,nan
,0000-0003-0713-0636,"('Natalia', 'Botelho')","('Faculdade Ingá', '90073', 'RINGGOLD', '2008')",nan,nan,nan,nan
,0000-0002-2109-7636,"('Si', 'Cheng')","('Chinese University of Hong Kong', '26451', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-0225-9636,"('Nikhil', 'Madhusudhan')","('Broad Institute', '33577', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0001-8997-1636,"('Gabriela', 'de la Cruz Flores')","('Universidad Nacional Autónoma de México', '7180', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0001-7728-4636,"('Hussam', 'Achour')","('Dublin City University', '8818', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0003-2920-9636,"('Jose Antonio', 'Ruiz-Lopez')","('University of Strathclyde', '3527', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0003-1483-2636,"('Mohammad', 'Hassanzadeh')","('National Iranian Oil Company', '48484', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0001-7846-3636,"('Michail', 'Vereshchagin')","('Pavel Sukhoi State Technical University of Gomel', 'grid.440510.4', 'GRID', '1978')",nan,nan,nan,nan
,0000-0003-2777-2636,"('André', 'Häußler')","('Karlsruher Institut für Technologie - Campus Nord', '28335', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0003-3594-0636,"('Andrey', 'Shvetsov')","('Mari State Technical University', '65010', 'RINGGOLD', '2006')",nan,nan,nan,nan
,0000-0002-0132-8636,"('Kang Seok', 'LEE')","('Chonnam National University', '34931', 'RINGGOLD', '2007')",nan,nan,nan,nan
,0000-0002-4998-9636,"('Jia', 'Cai')","('Chinese Academy of Geological Sciences', '74505', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q91568796,0000-0001-5675-8636,"('Animesh', 'Halder')","('SN Bose National Centre for Basic Sciences', '30178', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0002-5470-2636,"('Katrin', 'Erdlenbruch')","('Irstea Centre de Montpellier', '88581', 'RINGGOLD', '2005')",nan,nan,nan,nan
,0000-0001-5280-2636,"('Mohamed Farouk Hassan', 'Alemam')","('South Valley University Faculty of Medicine', '113328', 'RINGGOLD', '2008')",nan,nan,nan,nan
,0000-0003-1669-4636,"('Nuttaradee', 'Lojanapiwat')","('Goulburn Valley Health', '72544', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0002-4516-0636,"('Олександр', 'Мельник')","('Tavria State Agrotechnological University', 'grid.445879.3', 'GRID', '1988')",nan,nan,nan,nan
Q57823727,0000-0002-6966-4636,"('Joan', 'van Horn')","('De Forensische Zorgspecialisten', '84885', 'RINGGOLD', '2003')",nan,nan,nan,nan
,0000-0002-3069-8636,"('Ke', 'Luo')","('University of Florida', '3463', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0001-9558-9636,"('Raphael', 'Jamard')","('Universidad Técnica Particular de Loja', '27911', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-6430-2636,"('Jairo Alejandro', 'Granados Zambrano')","('Universidad Externado de Colombia', '28010', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0002-2889-7636,"('Rodrigo', 'Andrade')","('Universidade Federal de Minas Gerais', '28114', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0001-7168-3636,"('Anton', 'Pereverzev')","(""Peoples' Friendship University of Russia"", '64948', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0002-5044-5636,"('Yubo', 'Lang')","('China Criminal Police University', '66463', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q56801768,0000-0002-3672-3636,"('Filipe', 'Menegatti de Melo')","('Universidade Federal de Sao Paulo Escola Paulista de Medicina', '308224', 'RINGGOLD', '2015')",nan,nan,nan,nan
Q57790331,0000-0001-9471-1636,"('Alexander K.', 'Koch')","('Aarhus Universitet', '1006', 'RINGGOLD', '2008')",nan,nan,nan,nan
,0000-0002-6161-1636,"('Soriul', 'Kim')","('Korea University College of Medicine and School of Medicine', '36899', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0001-8843-4636,"('Patricio', 'Chico')","('Escuela Politécnica Nacional', '27882', 'RINGGOLD', '1985')",nan,nan,nan,nan
,0000-0001-6935-6636,"('Christopher Carmelo', 'Schembri')","('University of KwaZulu-Natal', '56394', 'RINGGOLD', '1990')",nan,nan,nan,nan
Q87708395,0000-0003-3877-0636,"('Rachel', 'Keith')","('University of Louisville', '5170', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0002-2566-1636,"('Sapto', 'Andriyono')","('Universitas Airlangga', '148005', 'RINGGOLD', '2008')",nan,nan,nan,nan
,0000-0003-4216-3636,"('Anna', 'Żurek')","('University of Wrocław', 'grid.8505.8', 'GRID', '2005')",nan,nan,nan,nan
,0000-0001-6273-6636,"('Angelica', 'Tejeda-Villanueva')","('Universidad Autónoma de Nuevo León', 'http://dx.doi.org/10.13039/501100004685', 'FUNDREF', '2015')",nan,nan,nan,nan
,0000-0002-9684-9636,"('Christoph', 'Janzen')","('Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung eV', '28424', 'RINGGOLD', '2001')",nan,nan,nan,nan
,0000-0002-4556-6636,"('hasan', 'karabay')","('Kocaeli Üniversitesi', 'http://dx.doi.org/10.13039/501100004077', 'FUNDREF', '2000')",nan,nan,nan,nan
,0000-0001-6035-1636,"('Sálua', 'Cecílio')","('Universidade de Uberaba - Campus Aeroporto', '355437', 'RINGGOLD', '1996')",nan,nan,nan,nan
Q57971111,0000-0002-6076-6636,"('Hak-Sung', 'Kim')","('Hanyang University', '26716', 'RINGGOLD', '2010')",nan,nan,nan,nan
,0000-0002-5997-6636,"('Andreas', 'Tönnis')","('Rheinische Friedrich-Wilhelms-Universität Bonn', '9374', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0001-5346-9636,"('Xuesong', 'Zhang')","('University of Illinois at Urbana-Champaign', '141041', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-8531-4636,"('Boran', 'Fan')","('Center for Power Electronics Systems', 'grid.450012.2', 'GRID', '2018')",nan,nan,nan,nan
Q62666267,0000-0001-7676-7636,"('Rodrigo', 'Lorenzi')","('Centre Hospitalier Régional Universitaire de Lille', '26902', 'RINGGOLD', '2013')",nan,nan,nan,nan
Q47343402,0000-0002-2375-4636,"('Jiliang', 'Zhou')","('Augusta University Medical College of Georgia', '160343', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0003-3377-7636,"('Linda', 'Røset')","('Inland Norway University of Applied Sciences', 'grid.477237.2', 'GRID', '2016')",nan,nan,nan,nan
,0000-0002-4135-4636,"('Virsen', 'Gaikwad')","('National Institute of Oceanography CSIR', '28955', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0003-0343-9636,"('Yaowu', 'Hao')","('University of Texas at Arlington', '12329', 'RINGGOLD', '2005')",nan,nan,nan,nan
Q43076321,0000-0002-2850-4636,"('Taro', 'Tsubomura')","('Seikei Daigaku', '13038', 'RINGGOLD', '1986')",nan,nan,nan,nan
Q87142565,0000-0002-9488-6636,"('Vladimir', 'Levashov')","('Moscow State University, Institute of Mechanics', 'grid.14476.30', 'GRID', '2012')",nan,nan,nan,nan
Q88976643,0000-0003-1135-9636,"('Adebayo', 'Braimah')","(""Cincinnati Children's Hospital Medical Center"", '2518', 'RINGGOLD', '2018')",nan,nan,nan,nan
Q91508246,0000-0001-5467-2636,"('Susana', 'Samuel')","('Faculdade de Odontologia da UFRGS', '67790', 'RINGGOLD', '1983')",nan,nan,nan,nan
Q91002232,0000-0003-2090-9636,"('NONO-RAYMOND', 'KUISPOND SWAR')","('University of Kinshasa', 'grid.9783.5', 'GRID', '2018')",nan,nan,nan,nan
,0000-0003-4338-5636,"('Agnieszka', 'Dąbrowska')","('Mabion (Poland)', 'grid.476504.4', 'GRID', '2019')",nan,nan,nan,nan
,0000-0002-7516-7636,"('Enrique', 'Avila Lopez')","('Mount Royal University', '2123', 'RINGGOLD', '2004')",nan,nan,nan,nan
Q87113676,0000-0003-4075-8636,"('Hem', 'Raj')","('LR Institute of Pharmacy', '80466', 'RINGGOLD', '2009')",nan,nan,nan,nan
Q57434007,0000-0002-6231-5636,"('C. Monica', 'Capra')","('Claremont Graduate University', '2524', 'RINGGOLD', '2014')",nan,nan,nan,nan
Q92452359,0000-0003-0423-9636,"('Lori', 'Kelman')","('Montgomery College - Germantown Campus', '116137', 'RINGGOLD', '2001')",nan,nan,nan,nan
,0000-0001-5860-6636,"('Ester', 'Filgueira López')","('Universidade de Santiago de Compostela - Campus Vida', '391648', 'RINGGOLD', '1993')",nan,nan,nan,nan
,0000-0001-5546-5030,"('Piotr', 'Dróżdż')","('Institute of High Pressure Physics', 'grid.425122.2', 'GRID', '2012')",nan,nan,nan,nan
Q61156950,0000-0001-6181-4030,"('Ievgen', 'Donskyi')","('Freie Universität Berlin', '9166', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0003-2464-4030,"('Kadaruddin', 'Abdul Kadir')","('Universitas SembilanBelas November Kolaka', '185702', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0001-7890-7030,"('Matilde', 'Scaramucci')","('Universidade Estadual de Campinas', '28132', 'RINGGOLD', '1983')",nan,nan,nan,nan
,0000-0001-8718-4030,"('Jaime Alan', 'Gutiérrez Cruz')","('Universidad de Las Ciencias Informaticas', '121907', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-5690-1030,"('Pop', 'Oksana')","('Institute of Electron Physics', 'grid.494524.a', 'GRID', '2009')",nan,nan,nan,nan
Q29840767,0000-0002-3372-6030,"('Virginie', 'Ropars')","('CEA Saclay', '84294', 'RINGGOLD', '2018')",nan,nan,nan,nan
Q96077949,0000-0002-4567-1030,"('Cecilia', 'Gállego Suárez, M.D.')","('University of Michigan', '1259', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0003-1193-1030,"('Wanjun', 'Wang')","('Guangdong University of Technology', '47870', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-6124-1030,"('somaye', 'kavousipor')","('Shiraz University of Medical Sciences', '48435', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0003-0924-1030,"('Marcos Luiz', 'Wiedemer')","('Universidade do Estado do Rio de Janeiro', '28130', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0002-3939-4030,"('Syaiful', 'Eddy')","('Universitas PGRI Palembang', '185892', 'RINGGOLD', '2006')",nan,nan,nan,nan
,0000-0003-0716-6030,"('Guyoung', 'Kang')","('Hankuk University of Foreign Studies - Global Campus', '65466', 'RINGGOLD', '1994')",nan,nan,nan,nan
Q56616563,0000-0002-8767-9030,"('Marcus Vinicius', 'Sampaio')","('Universidade Federal de Uberlândia', '28119', 'RINGGOLD', '2005')",nan,nan,nan,nan
,0000-0001-8124-1030,"('Thomas', 'Conklin')","('Xcel Energy Inc', '149894', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0002-7672-6030,"('Malgorzata', 'Juchniewicz')","('Uniwersytet Warminsko-Mazurski', '49674', 'RINGGOLD', '1987')",nan,nan,nan,nan
Q59752818,0000-0003-0827-3030,"('Harwin', 'Sidik')","('Translational Laboratory in Genetic Medicine', '505293', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0002-3702-2030,"('Mendi', 'Gumede')","('University of KwaZulu-Natal', '56394', 'RINGGOLD', '2019')",nan,nan,nan,nan
,0000-0003-2723-9030,"('Gulnoz', 'Maksudova')","('Toshkent davlat pedagogika universiteti', '187944', 'RINGGOLD', '2009')",nan,nan,nan,nan
Q90236558,0000-0003-1378-5030,"('Julian', 'Elston')","('University of Plymouth', '6633', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-2902-2030,"('Philip', 'Cook')","('University of Edinburgh', '3124', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0001-6822-3030,"('CAOZHENYU', None)","('Nanjing University of Chinese Medicine', '66478', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0002-7325-0030,"('Maria', 'Gerolemou')","('University of Exeter', 'grid.7359.8', 'GRID', '2018')",nan,nan,nan,nan
,0000-0002-2093-3030,"('Mohammad', ""Al Qar'a"")","('Yarmouk University', '59179', 'RINGGOLD', '2006')",nan,nan,nan,nan
