orcid,pmid,doi,qID
0000-0002-4977-4942,nan,10.1080/02713683.2019.1639769,Q91682636
0000-0002-4977-4942,nan,10.1080/02713683.2019.1594925,Q92349862
0000-0002-4977-4942,30726405,10.5935/0004-2749.20190021,Q91378165
0000-0002-4977-4942,30542050,10.12659/MSM.910923,Q60957105
0000-0002-4977-4942,26491248,10.2147/OPTH.S91943,Q41066143
0000-0002-4977-4942,27082732,10.3109/08820538.2015.1115084,Q42491913
0000-0002-4977-4942,29969298,10.1080/15569527.2018.1495224,Q89403257
0000-0002-4977-4942,29865906,10.1080/15569527.2018.1482494,Q88981546
0000-0002-4977-4942,nan,10.1080/15569527.2018.1442842,Q49889039
0000-0002-4977-4942,nan,10.1080/15569527.2018.1495224,Q89403257
0000-0002-4977-4942,31280609,10.1080/02713683.2019.1639769,Q91682636
0000-0002-4977-4942,nan,10.1080/15569527.2018.1530258,Q57045479
0000-0002-4977-4942,30994377,10.1080/09273948.2019.1588334,Q93149835
0000-0002-4977-4942,nan,10.1080/15569527.2018.1539010,Q58605603
0000-0002-4977-4942,25834384,10.2147/OPTH.S74249,Q35209759
0000-0002-4977-4942,30362367,10.1080/15569527.2018.1539010,Q58605603
0000-0002-4977-4942,30868923,10.1080/02713683.2019.1594925,Q92349862
0000-0002-4977-4942,29455557,10.1080/15569527.2018.1442842,Q49889039
0000-0002-4977-4942,nan,10.2147/OPTH.S74249,Q35209759
0000-0002-4977-4942,nan,10.3109/08820538.2015.1115084,Q42491913
0000-0002-4977-4942,30277087,10.1080/15569527.2018.1530258,Q57045479
0000-0002-4977-4942,nan,10.12659/MSM.910923,Q60957105
0000-0002-4977-4942,nan,10.5935/0004-2749.20190021,Q91378165
0000-0002-8565-2942,nan,10.1016/B978-0-12-374420-3.00070-X,Q58887317
0000-0002-8565-2942,nan,10.1080/02652030600889608,Q58887329
0000-0002-8565-2942,nan,10.1016/S0021-9673(02)01154-8,Q44236512
0000-0002-8565-2942,nan,10.1080/19440049.2010.542551,Q52606959
0000-0002-8565-2942,nan,10.1080/02652030600970374,Q52677886
0000-0002-8565-2942,nan,10.1016/S0021-9673(00)00447-7,Q74195509
0000-0002-8565-2942,nan,10.1016/S0031-9422(96)00413-X,Q59306849
0000-0002-8565-2942,nan,10.1016/S0308-8146(98)00062-4,Q59385706
0000-0002-8565-2942,nan,10.1081/JLC-100103429,Q58854855
0000-0001-7881-4942,nan,10.1017/S0007114514003808,Q41513453
0000-0001-7881-4942,nan,10.1177/0733464816630636,Q48626877
0000-0001-7881-4942,nan,10.1016/B978-0-12-396961-3.00045-7,Q57929395
0000-0001-7881-4942,nan,10.1109/TITB.2004.834393,Q34358842
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00048-3,Q57774747
0000-0002-4395-4942,nan,10.1016/S0016-7061(03)00219-2,Q57774698
0000-0002-4395-4942,nan,10.1071/SR99114,Q57774737
0000-0002-4395-4942,nan,10.1109/ATSIP.2014.6834648,Q57774563
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00122-1,Q57774748
0000-0002-4395-4942,nan,10.1071/SR13305,Q57774548
0000-0002-4395-4942,nan,10.1097/00010694-200306000-00006,Q57774718
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00048-3,Q57774747
