orcid,given_name,family_name,affiliation,affiliation_id,affiliation_id_source,start_date_year
0000-0003-3843-179X,"('Wiratni', 'Budhijanto')","('Universitas Gadjah Mada', '59166', 'RINGGOLD', '1996')"
0000-0002-6969-179X,"('HIROKI', 'NAGASHIMA')","('Chiba University', 'http://dx.doi.org/10.13039/501100008529', 'FUNDREF', '2017')"
0000-0003-0981-779X,"('Linda', 'Canonica')","('Rowan College at Gloucester County', 'grid.426810.9', 'GRID', '1992')"
0000-0002-5195-079X,"('Sofkhatin', 'Khumaidah')","('Sekolah Tinggi Agama Islam Negeri Jember', '248330', 'RINGGOLD', '1991')"
0000-0003-4198-079X,"('Tingting', 'Cheng')","('Xiangya Hospital Central South University', '159374', 'RINGGOLD', '2013')"
0000-0003-2000-479X,"('Gregory', 'Gohn')","('U.S. Department of the Interior', 'http://dx.doi.org/10.13039/100000201', 'FUNDREF', '1975')"
0000-0002-3271-779X,"('Witold', 'Gładkowski')","('Wroclaw University of Environmental and Life Sciences', 'grid.411200.6', 'GRID', '2006')"
0000-0001-9581-379X,"('Natalia', 'Martynova')","('Northern State Medical University', 'grid.412254.4', 'GRID', '1985')"
0000-0003-4094-579X,"('SHENGWEI', 'DENG')","('Technion Israel Institute of Technology', '26747', 'RINGGOLD', '2015')"
0000-0002-2485-679X,"('abdulsalam ahmed', 'al-hagar')","('Universiti Tun Hussein Onn Malaysia', '54710', 'RINGGOLD', '2013')"
0000-0002-6909-379X,"('ANANDH', 'S')","('SRM University', '63561', 'RINGGOLD', '2012')"
0000-0003-2021-579X,"('Peter', 'Walton')","(""Queen's University Belfast"", '1596', 'RINGGOLD', '2016')"
0000-0001-6520-079X,"('Maristela', 'Pereira')","('Universidade Federal de Uberlândia', '28119', 'RINGGOLD', '2006')"
0000-0003-2129-379X,"('Mattia', 'Gazzola')","('University of Illinois System', '8101', 'RINGGOLD', '2016')"
0000-0002-0706-079X,"('Kenneth', 'Carpenter')","('NASA Goddard Space Flight Center', '53523', 'RINGGOLD', '1991')"
0000-0001-5625-979X,"('Małgorzata', 'Malczyk')","('Uniwersytet Jagielloński w Krakowie', '37799', 'RINGGOLD', '1984')"
0000-0002-8395-279X,"('MARCIN', 'OPLAWSKI')","('Wojewodzki Szpital Specjalistyczny im L Rydygiera', '49652', 'RINGGOLD', '2002')"
0000-0001-6584-179X,"('Sara', 'Harper')","('University of Alabama at Birmingham', '9968', 'RINGGOLD', '2018')"
0000-0002-6376-779X,"('Valerii', 'Siuravchyk')","('National Academy of Internal Affairs', '287883', 'RINGGOLD', '1998')"
0000-0002-2557-679X,"('María Elisa', 'Vázquez')","('Universidad Autónoma de Nuevo León', 'http://dx.doi.org/10.13039/501100004685', 'FUNDREF', '1999')"
0000-0002-9780-179X,"('LOCHAN', 'SINGH')","('National Institute of Food Technology Entrepreneurship and Management', '276221', 'RINGGOLD', '2019')"
0000-0001-8776-879X,"('Lívia Maria', 'Lopes Stanzani')","('Universidade Paulista - Campus Ribeirão Preto', '243405', 'RINGGOLD', '2018')"
0000-0003-0777-479X,"('Adriane', 'da Silva Machado Möbbs')","('Universidade Católica de Pelotas', '67714', 'RINGGOLD', '2015')"
0000-0001-8585-079X,"('Caleb', 'Fast')","('Vanderbilt University', '5718', 'RINGGOLD', '2018')"
0000-0003-3296-179X,"('Dalila', 'Alves')","('AIBILI - Association for Innovation and Biomedical Research on Light and Image', '37830', 'RINGGOLD', '2014')"
0000-0003-2770-879X,"('Filomena', 'Jordão')","('Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação', '166419', 'RINGGOLD', '1983')"
0000-0003-4137-479X,"('Mohammad', ""AL-Rabab'ah"")","('University of Jordan', '54658', 'RINGGOLD', '2011')"
0000-0003-1669-779X,"('I-shen', 'Huang')","('Taipei Veterans General Hospital', '46615', 'RINGGOLD', '2014')"
0000-0003-4013-679X,"('Jonathan', 'Coles')","(""Addenbrooke's Hospital, University of Cambridge"", '2152', 'RINGGOLD', '2006')"
0000-0003-1858-879X,"('Rui', 'Cai')","('Dalian Institute of Chemical Physics', '58279', 'RINGGOLD', '2009')"
0000-0002-6903-479X,"('Mirosław Jan', 'Chmielewski')","('John Paul II Catholic University of Lublin', 'grid.37179.3b', 'GRID', '2011')"
0000-0002-2431-179X,"('ROBERT', 'ALVAREZ')","('Universidad Católica de Cuenca', '185000', 'RINGGOLD', '2013')"
0000-0003-4293-279X,"('I Wayan', 'Numertayasa')","('STKIP Suar Bangli', '263951', 'RINGGOLD', '2011')"
0000-0002-5618-879X,"('Rachael', 'Clawson')","('University of Nottingham', '6123', 'RINGGOLD', '2012')"
0000-0002-6343-379X,"('MANUELA', 'SOLÍS HERNÁNDEZ')","('Secretaría de Salud', 'http://dx.doi.org/10.13039/501100009051', 'FUNDREF', '2009')"
0000-0002-6891-279X,"('FLORIN', 'TUDORACHE')","('Alexandru Ioan Cuza University of Iasi', '312537', 'RINGGOLD', '2009')"
0000-0003-3110-979X,"('Takashi', 'Kodama')","('Johns Hopkins University', '1466', 'RINGGOLD', '2013')"
0000-0003-2115-479X,"('Ayyappa', 'Chaturvedula')","('University of North Texas Health Science Center', '12376', 'RINGGOLD', '2015')"
0000-0001-9780-079X,"('Arturo', 'Rendón')","('Universidad Nacional Autónoma de México', '7180', 'RINGGOLD', '2016')"
0000-0002-7537-079X,"('Jacopo Antonino', 'Vitale')","('IRCCS Istituto Ortopedico Galeazzi', '46767', 'RINGGOLD', '2016')"
0000-0002-2072-479X,"('Shamim', 'Alam')","('Jamia Millia Islamia', '28849', 'RINGGOLD', '2018')"
0000-0003-0400-479X,"('Dee', 'Williams')","('US Geological Survey Alaska Region', '465901', 'RINGGOLD', '2016')"
0000-0003-0293-079X,"('Ana Paula', 'Brandão Fried')","('Prefeitura Municipal de Niterói', '488731', 'RINGGOLD', '2007')"
